,train_loss,train_mape,train_rmse,valid_loss,valid_mape,valid_rmse
0,10.4322,0.1704,11.7529,15.6946,0.6565,19.2591
1,7.9076,0.1316,9.2204,14.6998,0.6639,19.4113
